2019年08月21日-22:16:09 [stderr] 10028 10027: 黑洞文件打开失败 
2019年09月04日-17:52:18 [debug] 20158 20157: bind成功，socket：5，port：10000
2019年09月04日-17:52:18 [debug] 20158 20157: listen成功
2019年09月04日-17:52:18 [debug] 20158 20157: socket成功
2019年09月04日-17:52:18 [debug] 20158 20157: bind成功，socket：6，port：10001
2019年09月04日-17:52:18 [debug] 20158 20157: listen成功
2019年09月04日-17:52:18 [stderr] 20159 3880: 修改主进程成功 
2019年09月04日-17:56:04 [debug] 20259 20258: socket成功
2019年09月04日-17:56:04 [debug] 20259 20258: bind成功，socket：4，port：433
2019年09月04日-17:56:04 [debug] 20259 20258: listen成功
2019年09月04日-17:56:04 [debug] 20259 20258: socket成功
2019年09月04日-17:56:04 [debug] 20259 20258: bind成功，socket：5，port：10000
2019年09月04日-17:56:04 [debug] 20259 20258: listen成功
2019年09月04日-17:56:04 [debug] 20259 20258: socket成功
2019年09月04日-17:56:04 [debug] 20259 20258: bind成功，socket：6，port：10001
2019年09月04日-17:56:04 [debug] 20259 20258: listen成功
2019年09月04日-17:56:04 [stderr] 20260 20259: 修改主进程成功 
2019年09月04日-17:56:50 [debug] 20337 20336: socket成功
2019年09月04日-17:56:50 [error] 20337 20336: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-17:57:04 [debug] 20344 20343: socket成功
2019年09月04日-17:57:04 [debug] 20344 20343: bind成功，socket：4，port：433
2019年09月04日-17:57:04 [debug] 20344 20343: listen成功
2019年09月04日-17:57:04 [debug] 20344 20343: socket成功
2019年09月04日-17:57:04 [debug] 20344 20343: bind成功，socket：5，port：10000
2019年09月04日-17:57:04 [debug] 20344 20343: listen成功
2019年09月04日-17:57:04 [debug] 20344 20343: socket成功
2019年09月04日-17:57:04 [debug] 20344 20343: bind成功，socket：6，port：10001
2019年09月04日-17:57:04 [debug] 20344 20343: listen成功
2019年09月04日-17:57:04 [stderr] 20345 20344: 修改主进程成功 
2019年09月04日-17:59:02 [debug] 20421 20420: socket成功
2019年09月04日-17:59:02 [debug] 20421 20420: bind成功，socket：4，port：2
2019年09月04日-17:59:02 [debug] 20421 20420: listen成功
2019年09月04日-17:59:02 [debug] 20421 20420: socket成功
2019年09月04日-17:59:02 [debug] 20421 20420: bind成功，socket：5，port：433
2019年09月04日-17:59:02 [debug] 20421 20420: listen成功
2019年09月04日-17:59:02 [debug] 20421 20420: socket成功
2019年09月04日-17:59:02 [debug] 20421 20420: bind成功，socket：6，port：10001
2019年09月04日-17:59:02 [debug] 20421 20420: listen成功
2019年09月04日-17:59:02 [stderr] 20422 20421: 修改主进程成功 
2019年09月04日-18:00:18 [debug] 20487 20486: socket成功
2019年09月04日-18:00:18 [error] 20487 20486: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-18:00:38 [debug] 20495 20494: socket成功
2019年09月04日-18:00:38 [debug] 20495 20494: bind成功，socket：4，port：433
2019年09月04日-18:00:38 [debug] 20495 20494: listen成功
2019年09月04日-18:00:38 [debug] 20495 20494: socket成功
2019年09月04日-18:00:38 [debug] 20495 20494: bind成功，socket：5，port：10000
2019年09月04日-18:00:38 [debug] 20495 20494: listen成功
2019年09月04日-18:00:38 [stderr] 20496 20495: 修改主进程成功 
2019年09月04日-18:01:20 [debug] 20526 20525: socket成功
2019年09月04日-18:01:20 [error] 20526 20525: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-18:04:05 [debug] 20682 20681: socket建立成功
2019年09月04日-18:04:05 [debug] 20682 20681: bind成功，socket：4，port：433
2019年09月04日-18:04:05 [debug] 20682 20681: listen成功
2019年09月04日-18:04:05 [debug] 20682 20681: socket建立成功
2019年09月04日-18:04:05 [debug] 20682 20681: bind成功，socket：5，port：10000
2019年09月04日-18:04:05 [debug] 20682 20681: listen成功
2019年09月04日-18:04:05 [stderr] 20683 20682: 修改主进程成功 
2019年09月04日-18:08:25 [debug] 20828 20827: socket建立成功
2019年09月04日-18:08:25 [debug] 20828 20827: bind成功，socket：4，port：433
2019年09月04日-18:08:25 [debug] 20828 20827: listen成功
2019年09月04日-18:08:25 [debug] 20828 20827: socket建立成功
2019年09月04日-18:08:25 [debug] 20828 20827: bind成功，socket：5，port：10000
2019年09月04日-18:08:25 [debug] 20828 20827: listen成功
2019年09月04日-18:08:25 [stderr] 20829 20828: 修改主进程成功 
2019年09月04日-18:09:48 [debug] 20949 20948: socket建立成功
2019年09月04日-18:09:48 [error] 20949 20948: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-18:10:34 [debug] 20955 20954: socket建立成功
2019年09月04日-18:10:34 [debug] 20955 20954: bind成功，socket：4，port：433
2019年09月04日-18:10:34 [debug] 20955 20954: listen成功
2019年09月04日-18:10:34 [debug] 20955 20954: socket建立成功
2019年09月04日-18:10:34 [debug] 20955 20954: bind成功，socket：5，port：10000
2019年09月04日-18:10:34 [debug] 20955 20954: listen成功
2019年09月04日-18:11:33 [debug] 20975 20974: socket建立成功
2019年09月04日-18:11:33 [debug] 20975 20974: bind成功，socket：4，port：433
2019年09月04日-18:11:33 [debug] 20975 20974: listen成功
2019年09月04日-18:11:33 [debug] 20975 20974: socket建立成功
2019年09月04日-18:11:33 [debug] 20975 20974: bind成功，socket：5，port：10000
2019年09月04日-18:11:33 [debug] 20975 20974: listen成功
2019年09月04日-18:11:51 [debug] 21019 21018: socket建立成功
2019年09月04日-18:11:51 [debug] 21019 21018: bind成功，socket：4，port：433
2019年09月04日-18:11:51 [debug] 21019 21018: listen成功
2019年09月04日-18:11:51 [debug] 21019 21018: socket建立成功
2019年09月04日-18:11:51 [debug] 21019 21018: bind成功，socket：5，port：10000
2019年09月04日-18:11:51 [debug] 21019 21018: listen成功
2019年09月04日-18:21:54 [debug] 21528 21527: socket建立成功
2019年09月04日-18:21:54 [debug] 21528 21527: bind成功，socket：4，port：433
2019年09月04日-18:21:54 [debug] 21528 21527: listen成功
2019年09月04日-18:21:54 [debug] 21528 21527: socket建立成功
2019年09月04日-18:21:54 [debug] 21528 21527: bind成功，socket：5，port：10000
2019年09月04日-18:21:54 [debug] 21528 21527: listen成功
2019年09月04日-18:21:54 [stderr] 21529 21528: 修改主进程成功 
2019年09月04日-18:28:09 [debug] 21713 21712: socket建立成功
2019年09月04日-18:28:09 [error] 21713 21712: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-18:29:01 [debug] 21731 21730: socket建立成功
2019年09月04日-18:29:01 [debug] 21731 21730: bind成功，socket：4，port：433
2019年09月04日-18:29:01 [debug] 21731 21730: listen成功
2019年09月04日-18:29:01 [debug] 21731 21730: socket建立成功
2019年09月04日-18:29:01 [debug] 21731 21730: bind成功，socket：5，port：10000
2019年09月04日-18:29:01 [debug] 21731 21730: listen成功
2019年09月04日-18:29:01 [stderr] 21732 3880: 修改主进程成功 
2019年09月04日-18:33:19 [debug] 21861 21860: socket建立成功
2019年09月04日-18:33:19 [debug] 21861 21860: bind成功，socket：4，port：433
2019年09月04日-18:33:19 [debug] 21861 21860: listen成功
2019年09月04日-18:33:19 [debug] 21861 21860: socket建立成功
2019年09月04日-18:33:19 [debug] 21861 21860: bind成功，socket：5，port：10000
2019年09月04日-18:33:19 [debug] 21861 21860: listen成功
2019年09月04日-18:33:19 [stderr] 21862 21861: 修改主进程成功 
2019年09月04日-18:34:42 [info] 21862 3880: 收到SIGUSR1信号，__siguser1()启动
2019年09月04日-18:36:34 [info] 21862 3880: 收到SIGUSR1信号，__siguser1()启动
2019年09月04日-18:36:39 [info] 21862 3880: 收到SIGUSR1信号，__siguser1()启动
2019年09月04日-18:38:05 [debug] 21996 21995: socket建立成功
2019年09月04日-18:38:05 [error] 21996 21995: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-18:38:31 [debug] 22014 22013: socket建立成功
2019年09月04日-18:38:31 [debug] 22014 22013: bind成功，socket：4，port：433
2019年09月04日-18:38:31 [debug] 22014 22013: listen成功
2019年09月04日-18:38:31 [debug] 22014 22013: socket建立成功
2019年09月04日-18:38:31 [debug] 22014 22013: bind成功，socket：5，port：10000
2019年09月04日-18:38:31 [debug] 22014 22013: listen成功
2019年09月04日-18:38:31 [stderr] 22015 22014: 修改主进程成功 
2019年09月04日-18:38:51 [info] 22016 22015: 收到SIGUSR1信号，__siguser1()启动
2019年09月04日-18:40:08 [debug] 22196 22195: socket建立成功
2019年09月04日-18:40:08 [debug] 22196 22195: bind成功，socket：4，port：433
2019年09月04日-18:40:08 [debug] 22196 22195: listen成功
2019年09月04日-18:40:08 [debug] 22196 22195: socket建立成功
2019年09月04日-18:40:08 [debug] 22196 22195: bind成功，socket：5，port：10000
2019年09月04日-18:40:08 [debug] 22196 22195: listen成功
2019年09月04日-18:40:08 [stderr] 22197 22196: 修改主进程成功 
2019年09月04日-18:44:55 [alert] 22463 22462: SIGKILL 设置失败 
2019年09月04日-18:44:55 [debug] 22463 22462: socket建立成功
2019年09月04日-18:44:55 [debug] 22463 22462: bind成功，socket：4，port：433
2019年09月04日-18:44:55 [debug] 22463 22462: listen成功
2019年09月04日-18:44:55 [debug] 22463 22462: socket建立成功
2019年09月04日-18:44:55 [debug] 22463 22462: bind成功，socket：5，port：10000
2019年09月04日-18:44:55 [debug] 22463 22462: listen成功
2019年09月04日-18:44:55 [stderr] 22464 3880: 修改主进程成功 
2019年09月04日-18:45:12 [info] 22464 3880: 收到SIGUSR1信号，__siguser1()启动
2019年09月04日-18:48:32 [alert] 22555 22554: SIGKILL 设置失败 
2019年09月04日-18:48:32 [debug] 22555 22554: socket建立成功
2019年09月04日-18:48:32 [debug] 22555 22554: bind成功，socket：4，port：433
2019年09月04日-18:48:32 [debug] 22555 22554: listen成功
2019年09月04日-18:48:32 [debug] 22555 22554: socket建立成功
2019年09月04日-18:48:32 [debug] 22555 22554: bind成功，socket：5，port：10000
2019年09月04日-18:48:32 [debug] 22555 22554: listen成功
2019年09月04日-18:48:32 [stderr] 22556 22555: 修改主进程成功 
2019年09月04日-22:00:42 [debug] 26004 26003: socket建立成功
2019年09月04日-22:00:42 [error] 26004 26003: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:01:53 [debug] 26081 26080: socket建立成功
2019年09月04日-22:01:53 [error] 26081 26080: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:02:53 [debug] 26170 26169: socket建立成功
2019年09月04日-22:02:53 [error] 26170 26169: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:22 [debug] 26184 26183: socket建立成功
2019年09月04日-22:03:22 [error] 26184 26183: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:23 [debug] 26189 26188: socket建立成功
2019年09月04日-22:03:23 [error] 26189 26188: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:24 [debug] 26191 26190: socket建立成功
2019年09月04日-22:03:24 [error] 26191 26190: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:25 [debug] 26193 26192: socket建立成功
2019年09月04日-22:03:25 [error] 26193 26192: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:25 [debug] 26196 26195: socket建立成功
2019年09月04日-22:03:25 [error] 26196 26195: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:26 [debug] 26198 26197: socket建立成功
2019年09月04日-22:03:26 [error] 26198 26197: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:26 [debug] 26200 26199: socket建立成功
2019年09月04日-22:03:26 [error] 26200 26199: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:27 [debug] 26202 26201: socket建立成功
2019年09月04日-22:03:27 [error] 26202 26201: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:27 [debug] 26204 26203: socket建立成功
2019年09月04日-22:03:27 [error] 26204 26203: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:28 [debug] 26206 26205: socket建立成功
2019年09月04日-22:03:28 [error] 26206 26205: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:29 [debug] 26208 26207: socket建立成功
2019年09月04日-22:03:29 [error] 26208 26207: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:03:29 [debug] 26210 26209: socket建立成功
2019年09月04日-22:03:29 [error] 26210 26209: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:04:27 [debug] 26280 26279: socket建立成功
2019年09月04日-22:04:27 [error] 26280 26279: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:05:13 [debug] 26343 26342: socket建立成功
2019年09月04日-22:05:13 [error] 26343 26342: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:07:52 [debug] 26432 26431: socket建立成功
2019年09月04日-22:07:52 [error] 26432 26431: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:15:24 [debug] 27542 27541: socket建立成功
2019年09月04日-22:15:24 [error] 27542 27541: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:15:44 [debug] 27586 27585: socket建立成功
2019年09月04日-22:15:44 [error] 27586 27585: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:19:40 [debug] 27934 27933: socket建立成功
2019年09月04日-22:19:40 [error] 27934 27933: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:20:12 [debug] 27985 27984: socket建立成功
2019年09月04日-22:20:12 [error] 27985 27984: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:20:23 [debug] 27997 27996: socket建立成功
2019年09月04日-22:20:23 [error] 27997 27996: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:20:25 [debug] 27999 27998: socket建立成功
2019年09月04日-22:20:25 [error] 27999 27998: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:21:28 [debug] 28076 28075: socket建立成功
2019年09月04日-22:21:28 [error] 28076 28075: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:21:58 [debug] 28132 28131: socket建立成功
2019年09月04日-22:21:58 [error] 28132 28131: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:23:38 [debug] 28198 28197: socket建立成功
2019年09月04日-22:23:38 [error] 28198 28197: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:29:10 [debug] 28293 28292: socket建立成功
2019年09月04日-22:29:10 [error] 28293 28292: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:30:22 [debug] 28404 28403: socket建立成功
2019年09月04日-22:30:22 [error] 28404 28403: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:32:44 [debug] 28476 28475: socket建立成功
2019年09月04日-22:32:44 [error] 28476 28475: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:33:38 [debug] 28533 28532: socket建立成功
2019年09月04日-22:33:38 [error] 28533 28532: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:34:39 [debug] 28583 28582: socket建立成功
2019年09月04日-22:34:39 [error] 28583 28582: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:36:17 [debug] 28639 28638: socket建立成功
2019年09月04日-22:36:17 [error] 28639 28638: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:36:27 [debug] 28685 28684: socket建立成功
2019年09月04日-22:36:27 [error] 28685 28684: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:37:15 [debug] 28746 28745: socket建立成功
2019年09月04日-22:37:15 [error] 28746 28745: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-22:37:31 [debug] 28796 28795: socket建立成功
2019年09月04日-22:37:31 [error] 28796 28795: bind失败，socket：4，port：433，端口已被使用
2019年09月06日-14:31:25 [debug] 4628 4563: socket建立成功
2019年09月06日-14:31:25 [error] 4628 4563: bind失败，socket：4，port：433，端口已被使用
2019年09月06日-14:31:51 [debug] 4673 4563: socket建立成功
2019年09月06日-14:31:51 [error] 4673 4563: bind失败，socket：4，port：433，端口已被使用
2019年09月06日-14:33:43 [debug] 4723 4722: socket建立成功
2019年09月06日-14:33:43 [debug] 4723 4722: bind成功，socket：4，port：433
2019年09月06日-14:33:43 [debug] 4723 4722: listen成功
2019年09月06日-14:33:43 [debug] 4723 4722: socket建立成功
2019年09月06日-14:33:43 [debug] 4723 4722: bind成功，socket：5，port：10000
2019年09月06日-14:33:43 [debug] 4723 4722: listen成功
2019年09月06日-15:57:36 [debug] 11269 11268: bind成功，socket：4，port：433
2019年09月06日-15:57:36 [debug] 11269 11268: bind成功，socket：5，port：10000
2019年09月06日-16:01:26 [debug] 11534 11533: bind成功，socket：4，port：433
2019年09月06日-16:01:26 [debug] 11534 11533: bind成功，socket：5，port：10000
2019年09月06日-16:03:35 [debug] 11581 11580: bind成功，socket：4，port：433
2019年09月06日-16:03:35 [debug] 11581 11580: bind成功，socket：5，port：10000
2019年09月06日-16:04:01 [debug] 11588 11587: bind成功，socket：4，port：433
2019年09月06日-16:04:01 [debug] 11588 11587: bind成功，socket：5，port：10000
2019年09月06日-16:05:37 [debug] 11668 11667: bind成功，socket：4，port：433
2019年09月06日-16:05:37 [debug] 11668 11667: bind成功，socket：5，port：10000
2019年09月06日-16:05:54 [debug] 11673 11672: bind成功，socket：4，port：433
2019年09月06日-16:05:54 [debug] 11673 11672: bind成功，socket：5，port：10000
2019年09月06日-16:06:47 [debug] 11700 11699: bind成功，socket：4，port：433
2019年09月06日-16:06:47 [debug] 11700 11699: bind成功，socket：5，port：10000
2019年09月06日-16:09:51 [debug] 11846 11845: bind成功，socket：4，port：433
2019年09月06日-16:09:51 [debug] 11846 11845: bind成功，socket：5，port：10000
2019年09月06日-16:09:51 [stderr] 11847 2712: 修改主进程成功 
2019年09月06日-16:14:02 [debug] 11922 11921: bind成功，socket：4，port：433
2019年09月06日-16:14:02 [debug] 11922 11921: bind成功，socket：5，port：10000
2019年09月06日-16:14:02 [stderr] 11923 11922: 修改主进程成功 
2019年09月06日-16:17:44 [debug] 12077 12076: bind成功，socket：4，port：433
2019年09月06日-16:17:44 [debug] 12077 12076: bind成功，socket：5，port：10000
2019年09月06日-16:17:44 [stderr] 12078 2712: 修改主进程成功 
2019年09月06日-16:19:16 [error] 12146 12145: bind失败，socket：4，port：433，端口已被使用
2019年09月06日-16:20:14 [debug] 12196 12195: bind成功，socket：4，port：433
2019年09月06日-16:20:14 [debug] 12196 12195: bind成功，socket：5，port：10000
2019年09月06日-16:20:14 [stderr] 12197 2712: 修改主进程成功 
2019年09月06日-16:24:16 [error] 12270 12269: bind失败，socket：4，port：433，端口已被使用
2019年09月06日-16:31:25 [debug] 12355 12354: bind成功，socket：4，port：433
2019年09月06日-16:31:25 [debug] 12355 12354: bind成功，socket：5，port：10000
2019年09月06日-16:31:25 [stderr] 12356 2712: 修改主进程成功 
